architecture,trained_task_count,task_status,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd
transformer,1,pool_unseen,3,9.3105795613295452,0.19490020481656078,0.31540008672263298,0.0062701526986602097,0.079027777777777766,0.00542200591553976
transformer,1,fixed_train_holdout,3,12.743882089056909,0.43542595711747351,0.14887363242776183,0.01108445899167446,0.018229166666666668,0.004510548978043951
transformer,1,seen,3,0.26390915115674335,0.055196471127348476,0.89583333333333337,0.03456387504799386,0.79166666666666663,0.069127750095987719
mlp,1,pool_unseen,3,9.167043999223468,0.31338171303502932,0.30415908663195868,0.0082644219166708964,0.092248593530239106,0.0039712995122244289
mlp,1,fixed_train_holdout,3,11.15586262942311,0.54578455951129001,0.14686523605399118,0.0037273573291607188,0.021874999999999995,0
mlp,1,seen,3,0.58165662288665765,0.0094082600523490868,0.75624999999999998,0.0082679728470768377,0.51250000000000007,0.016535945694153696
transformer,2,pool_unseen,3,9.8632197373487394,0.44969542539726215,0.30159148750396225,0.0054194621561893218,0.073813291139240511,0.0087354341931640978
transformer,2,fixed_train_holdout,3,12.528788753898107,0.62280655170387955,0.1518160704429371,0.010805160194631213,0.022395833333333334,0.0023867581744561671
transformer,2,seen,3,0.13350983212391535,0.011836984650269444,0.94374999999999998,0.0031249999999999889,0.88750000000000007,0.0062500000000000333
mlp,2,pool_unseen,3,9.4172119456808776,0.26086269598021483,0.27445879986976057,0.010044151604228987,0.074404761904761904,0.0040012885892109357
mlp,2,fixed_train_holdout,3,11.227142575156163,0.91804808861582021,0.14227380451580451,0.0028628172546735792,0.016666666666666666,0.0047735163489123324
mlp,2,seen,3,0.56572911043961838,0.0049505328416294889,0.75677083333333328,0.00738408691601968,0.51354166666666667,0.014768173832039412
transformer,4,pool_unseen,3,6.3308603716634835,0.12744373369541231,0.37356929487704754,0.02576781708938311,0.07586805555555555,0.0089354925225401151
transformer,4,fixed_train_holdout,3,6.3886260200713032,0.61354738995340052,0.32990320246144939,0.033244675732934902,0.017187499999999998,0.0027063293868263712
transformer,4,seen,3,0.29281794942826095,0.013633932713496732,0.88595685722568041,0.0032657458290521095,0.69010416666666663,0.0036084391824351804
mlp,4,pool_unseen,3,5.9282685518313398,0.34672195195130023,0.41019838371949735,0.0013015231805723611,0.044270833333333336,0.025584529355864871
mlp,4,fixed_train_holdout,3,6.8145694523824645,0.70595834817105452,0.37007184970829404,0.012081958779078633,0.03125,0.016312978920172735
mlp,4,seen,3,0.58752005591080991,0.0078648840131864649,0.76240168817893317,0.0020575790876017157,0.47187499999999999,0.0031249999999999889
transformer,8,pool_unseen,3,6.0028727546247724,0.43394557269284695,0.37900894856533157,0.011870478832759459,0.025886735232067509,0.012959268930763025
transformer,8,fixed_train_holdout,3,6.3218980536131753,0.73362022628658863,0.29915811358695005,0.010639051541456848,0.0088541666666666664,0.0088847510985583227
transformer,8,seen,3,0.34292474132385786,0.011521958845976081,0.87186474764957644,0.0048058240816664603,0.60871394230769227,0.0032238535535719353
mlp,8,pool_unseen,3,6.5716528559968914,0.47183296337268493,0.42730551303729863,0.014009976537893619,0.016567774261603375,0.0096758642370726074
mlp,8,fixed_train_holdout,3,8.9994867410641373,0.28650408816965334,0.34448848359928474,0.008088045791437095,0,0
mlp,8,seen,3,0.60827382072500413,0.015452679041411692,0.76362597681229649,0.0043133453817130307,0.41172542735042733,0.010979251587888768
transformer,16,seen,3,0.51726118646261832,0.0053780757919356399,0.80865434081607612,0.0033165517958069876,0.49602397591420533,0.008635302743835024
transformer,16,fixed_train_holdout,3,5.9633571885412273,0.75407845174575283,0.28765303968998962,0.031580977089780637,0.0010416666666666667,0.0018042195912175807
mlp,16,seen,3,0.72692497016083502,0.0026707851724343608,0.7204088678849393,0.0016932839232193903,0.35494090122254679,0.0031691732504858399
mlp,16,fixed_train_holdout,3,7.0612589475969907,0.78177350915133981,0.33310291222657928,0.0049039076968637706,0.010937500000000001,0.0015625000000000005
